match_id,match,city,stage,model_home,model_draw,model_away,market_home,market_draw,market_away,edge_home,edge_draw,edge_away,best_value,best_edge,signal,review_flag,draw_play_filter,model_pick,ou_line,total_exp_goals,model_over,model_under,market_over,market_under,edge_over,edge_under,ou_best_edge,ou_best_value,ou_signal,ou_review_flag
11,Côte d'Ivoire vs Ecuador,Philadelphia,Group Stage,34.09%,26.25%,39.66%,26.47%,33.33%,40.20%,7.62%,-7.08%,-0.53%,Côte d'Ivoire,7.62%,PLAY,,,Ecuador,1.5,2.085,61.65%,38.35%,60.40%,39.60%,1.26%,-1.26%,1.26%,Over 1.5,PASS,
12,Sweden vs Tunisia,Monterrey,Group Stage,32.31%,29.79%,37.90%,50.50%,27.72%,21.78%,-18.18%,2.07%,16.12%,Tunisia,16.12%,REVIEW,CHECK INPUTS,,Tunisia,2.5,2.615,48.53%,51.47%,41.58%,58.42%,6.95%,-6.95%,6.95%,Over 2.5,PLAY,
13,Spain vs Cabo Verde,Atlanta,Group Stage,78.83%,19.20%,1.97%,89.22%,6.86%,3.92%,-10.39%,12.34%,-1.95%,Draw,12.34%,REVIEW,,BLOCK DRAW,Spain,3.5,2.71,28.81%,71.19%,49.50%,50.50%,-20.69%,20.69%,20.69%,Under 3.5,REVIEW,CHECK INPUTS
14,Belgium vs Egypt,Seattle,Group Stage,65.70%,25.71%,8.59%,57.84%,24.51%,17.65%,7.85%,1.20%,-9.05%,Belgium,7.85%,PLAY,,,Belgium,2.5,2.62,48.66%,51.34%,47.52%,52.48%,1.13%,-1.13%,1.13%,Over 2.5,PASS,
15,Saudi Arabia vs Uruguay,Miami,Group Stage,18.27%,23.76%,57.97%,13.59%,21.36%,65.05%,4.67%,2.40%,-7.07%,Saudi Arabia,4.67%,WATCH,,,Uruguay,2.5,2.46,44.59%,55.41%,47.52%,52.48%,-2.94%,2.94%,2.94%,Under 2.5,PASS,
16,IR Iran vs New Zealand,Los Angeles,Group Stage,59.40%,25.38%,15.22%,50.51%,28.28%,21.21%,8.90%,-2.90%,-6.00%,IR Iran,8.90%,PLAY,,,IR Iran,2.5,,,,39.60%,60.40%,,,0.00%,#N/A,PASS,
17,France vs Senegal,New York/New Jersey,Group Stage,67.33%,24.93%,7.74%,67.33%,20.79%,11.88%,0.00%,4.14%,-4.14%,Draw,4.14%,WATCH,,,France,2.5,2.67,49.90%,50.10%,49.50%,50.50%,0.39%,-0.39%,0.39%,Over 2.5,PASS,
18,Iraq vs Norway,Boston,Group Stage,6.98%,26.04%,66.98%,6.86%,13.73%,79.41%,0.12%,12.31%,-12.43%,Draw,12.31%,REVIEW,,BLOCK DRAW,Norway,2.5,2.74,51.61%,48.39%,59.41%,40.59%,-7.79%,7.79%,7.79%,Under 2.5,PLAY,
19,Argentina vs Algeria,Kansas City,Group Stage,62.37%,23.07%,14.56%,70.30%,20.79%,8.91%,-7.93%,2.28%,5.65%,Algeria,5.65%,WATCH,,,Argentina,2.5,2.005,32.47%,67.53%,49.50%,50.50%,-17.04%,17.04%,17.04%,Under 2.5,REVIEW,CHECK INPUTS
20,Austria vs Jordan,San Francisco Bay Area,Group Stage,50.70%,27.27%,22.03%,72.55%,16.67%,10.78%,-21.85%,10.60%,11.25%,Jordan,11.25%,STRONG PLAY,,,Austria,2.5,2.555,47.02%,52.98%,58.42%,41.58%,-11.39%,11.39%,11.39%,Under 2.5,STRONG PLAY,
21,Portugal vs DR Congo,Houston,Group Stage,67.42%,24.42%,8.16%,78.00%,16.00%,6.00%,-10.58%,8.42%,2.16%,Draw,8.42%,PLAY,,,Portugal,2.5,2.92,55.86%,44.14%,57.43%,42.57%,-1.56%,1.56%,1.56%,Under 2.5,PASS,
22,England vs Croatia,Dallas,Group Stage,49.79%,27.54%,22.67%,55.45%,24.75%,19.80%,-5.66%,2.79%,2.87%,Croatia,2.87%,PASS,,,England,2.5,3.075,59.34%,40.66%,44.12%,55.88%,15.22%,-15.22%,15.22%,Over 2.5,REVIEW,CHECK INPUTS
23,Ghana vs Panama,Toronto,Group Stage,19.96%,27.45%,52.59%,46.08%,27.45%,26.47%,-26.11%,0.00%,26.12%,Panama,26.12%,REVIEW,CHECK INPUTS,,Panama,2.5,2.465,44.72%,55.28%,42.31%,57.69%,2.41%,-2.41%,2.41%,Over 2.5,PASS,
24,Uzbekistan vs Colombia,Mexico City,Group Stage,18.78%,24.72%,56.50%,10.89%,19.80%,69.31%,7.89%,4.92%,-12.81%,Uzbekistan,7.89%,PLAY,,,Colombia,2.5,2.775,52.46%,47.54%,48.54%,51.46%,3.91%,-3.91%,3.91%,Over 2.5,WATCH,
25,Czechia vs South Africa,Atlanta,Group Stage,38.28%,27.93%,33.79%,49.02%,28.43%,22.55%,-10.74%,-0.50%,11.24%,South Africa,11.24%,STRONG PLAY,,,Czechia,2.5,2.52,46.13%,53.87%,40.20%,59.80%,5.93%,-5.93%,5.93%,Over 2.5,WATCH,
26,Switzerland vs Bosnia and Herzegovina,Los Angeles,Group Stage,66.01%,23.73%,10.26%,59.00%,24.00%,17.00%,7.01%,-0.27%,-6.74%,Switzerland,7.01%,PLAY,,,Switzerland,2.5,2.57,47.40%,52.60%,45.54%,54.46%,1.86%,-1.86%,1.86%,Over 2.5,PASS,
27,Canada vs Qatar,Vancouver,Group Stage,63.47%,26.19%,10.34%,73.53%,17.65%,8.82%,-10.06%,8.54%,1.52%,Draw,8.54%,PLAY,,,Canada,2.5,2.26,39.33%,60.67%,48.57%,51.43%,-9.24%,9.24%,9.24%,Under 2.5,PLAY,
28,Mexico vs South Korea,Guadalajara,Group Stage,39.15%,28.62%,32.23%,53.40%,26.21%,20.39%,-14.25%,2.41%,11.84%,South Korea,11.84%,STRONG PLAY,,,Mexico,2.5,2.405,43.16%,56.84%,40.38%,59.62%,2.78%,-2.78%,2.78%,Over 2.5,PASS,
29,USA vs Australia,Seattle,Group Stage,25.51%,29.97%,44.52%,55.45%,23.76%,20.79%,-29.94%,6.21%,23.73%,Australia,23.73%,REVIEW,CHECK INPUTS,,Australia,2.5,2.33,41.19%,58.81%,47.12%,52.88%,-5.93%,5.93%,5.93%,Under 2.5,WATCH,
30,Scotland vs Morocco,Boston,Group Stage,13.25%,26.31%,60.44%,22.77%,28.71%,48.51%,-9.52%,-2.40%,11.92%,Morocco,11.92%,STRONG PLAY,,,Morocco,2.5,2.705,50.76%,49.24%,42.31%,57.69%,8.45%,-8.45%,8.45%,Over 2.5,PLAY,
31,Brazil vs Haiti,Philadelphia,Group Stage,66.15%,19.47%,14.38%,89.22%,5.88%,4.90%,-23.07%,13.59%,9.48%,Draw,13.59%,REVIEW,,BLOCK DRAW,Brazil,3.5,2.32,20.47%,79.53%,51.82%,48.18%,-31.35%,31.35%,31.35%,Under 3.5,REVIEW,CHECK INPUTS
32,Turkey vs Paraguay,San Francisco Bay Area,Group Stage,51.31%,28.05%,20.64%,43.14%,29.41%,27.45%,8.17%,-1.36%,-6.81%,Turkey,8.17%,PLAY,,,Turkey,2.5,2.505,45.75%,54.25%,40.20%,59.80%,5.55%,-5.55%,5.55%,Over 2.5,WATCH,
33,Netherlands vs Sweden,Houston,Group Stage,67.93%,24.51%,7.56%,58.42%,23.76%,17.82%,9.51%,0.75%,-10.26%,Netherlands,9.51%,PLAY,,,Netherlands,2.5,2.705,50.76%,49.24%,50.00%,50.00%,0.76%,-0.76%,0.76%,Over 2.5,PASS,
34,Germany vs Côte d'Ivoire,Toronto,Group Stage,65.95%,24.90%,9.15%,62.38%,21.78%,15.84%,3.57%,3.12%,-6.69%,Germany,3.57%,WATCH,,,Germany,2.5,2.38,42.51%,57.49%,52.94%,47.06%,-10.44%,10.44%,10.44%,Under 2.5,STRONG PLAY,
35,Ecuador vs South Africa,Kansas City,Group Stage,52.45%,24.30%,23.25%,80.20%,12.87%,6.93%,-27.75%,11.43%,16.32%,South Africa,16.32%,REVIEW,CHECK INPUTS,,Ecuador,2.5,2.065,34.09%,65.91%,56.73%,43.27%,-22.64%,22.64%,22.64%,Under 2.5,REVIEW,CHECK INPUTS
36,Tunisia vs Japan,Monterrey,Group Stage,11.56%,25.89%,62.55%,18.00%,27.00%,55.00%,-6.44%,-1.11%,7.55%,Japan,7.55%,PLAY,,,Japan,2.5,2.43,43.81%,56.19%,,,,,0.00%,#N/A,PASS,
37,Spain vs Saudi Arabia,Atlanta,Group Stage,78.01%,19.20%,2.79%,87.25%,8.82%,3.92%,-9.25%,10.38%,-1.13%,Draw,10.38%,REVIEW,,BLOCK DRAW,Spain,2.5,3.015,58.02%,41.98%,,,,,0.00%,#N/A,PASS,
38,Belgium vs IR Iran,Los Angeles,Group Stage,61.61%,27.75%,10.64%,69.00%,19.00%,12.00%,-7.39%,8.75%,-1.36%,Draw,8.75%,PLAY,,,Belgium,2.5,3.135,60.64%,39.36%,,,,,0.00%,#N/A,PASS,
39,Uruguay vs Cabo Verde,Miami,Group Stage,62.48%,23.76%,13.76%,67.33%,20.79%,11.88%,-4.84%,2.97%,1.87%,Draw,2.97%,PASS,,,Uruguay,2.5,2.155,36.52%,63.48%,,,,,0.00%,#N/A,PASS,
40,New Zealand vs Egypt,Vancouver,Group Stage,18.34%,27.42%,54.24%,20.00%,25.00%,55.00%,-1.66%,2.42%,-0.76%,Draw,2.42%,PASS,,,Egypt,2.5,,,,,,,,0.00%,#N/A,PASS,
41,Argentina vs Austria,Dallas,Group Stage,56.84%,24.03%,19.13%,59.41%,24.75%,15.84%,-2.57%,-0.72%,3.29%,Austria,3.29%,WATCH,,,Argentina,2.5,2.38,42.51%,57.49%,,,,,0.00%,#N/A,PASS,
42,France vs Iraq,Philadelphia,Group Stage,77.09%,20.49%,2.42%,85.29%,10.78%,3.92%,-8.20%,9.71%,-1.51%,Draw,9.71%,REVIEW,,BLOCK DRAW,France,2.5,2.71,50.88%,49.12%,,,,,0.00%,#N/A,PASS,
43,Norway vs Senegal,New York/New Jersey,Group Stage,50.98%,29.52%,19.50%,46.08%,26.47%,27.45%,4.90%,3.05%,-7.95%,Norway,4.90%,WATCH,,,Norway,2.5,2.7,50.64%,49.36%,,,,,0.00%,#N/A,PASS,
44,Jordan vs Algeria,San Francisco Bay Area,Group Stage,27.64%,28.23%,44.13%,14.00%,23.00%,63.00%,13.64%,5.23%,-18.87%,Jordan,13.64%,STRONG PLAY,,,Algeria,2.5,2.18,37.19%,62.81%,,,,,0.00%,#N/A,PASS,
45,Portugal vs Uzbekistan,Houston,Group Stage,62.71%,25.11%,12.18%,78.22%,13.86%,7.92%,-15.51%,11.25%,4.26%,Draw,11.25%,REVIEW,,BLOCK DRAW,Portugal,2.5,3.3,64.06%,35.94%,,,,,0.00%,#N/A,PASS,
46,England vs Ghana,Boston,Group Stage,75.37%,20.94%,3.69%,74.75%,16.16%,9.09%,0.63%,4.78%,-5.40%,Draw,4.78%,WATCH,,,England,2.5,2.445,44.20%,55.80%,,,,,0.00%,#N/A,PASS,
47,Panama vs Croatia,Toronto,Group Stage,16.33%,25.95%,57.72%,12.75%,23.53%,63.73%,3.59%,2.42%,-6.01%,Panama,3.59%,WATCH,,,Croatia,2.5,3.095,59.78%,40.22%,,,,,0.00%,#N/A,PASS,
48,Colombia vs DR Congo,Guadalajara,Group Stage,62.94%,24.03%,13.03%,66.00%,22.00%,12.00%,-3.06%,2.03%,1.03%,Draw,2.03%,PASS,,,Colombia,2.5,2.395,42.90%,57.10%,,,,,0.00%,#N/A,PASS,
49,Switzerland vs Canada,Vancouver,Group Stage,50.54%,27.27%,22.19%,48.48%,23.23%,28.28%,2.05%,4.04%,-6.09%,Draw,4.04%,WATCH,,,Switzerland,2.5,2.1,35.04%,64.96%,,,,,0.00%,#N/A,PASS,
50,Bosnia and Herzegovina vs Qatar,Seattle,Group Stage,48.11%,29.73%,22.16%,62.38%,18.81%,18.81%,-14.27%,10.92%,3.35%,Draw,10.92%,STRONG PLAY,,,Bosnia and Herzegovina,2.5,2.73,51.37%,48.63%,,,,,0.00%,#N/A,PASS,
51,Scotland vs Brazil,Miami,Group Stage,24.12%,24.24%,51.64%,72.28%,17.82%,9.90%,-48.16%,6.42%,41.74%,Brazil,41.74%,REVIEW,CHECK INPUTS,,Brazil,2.5,2.595,48.03%,51.97%,,,,,0.00%,#N/A,PASS,
52,Morocco vs Haiti,Atlanta,Group Stage,71.19%,21.54%,7.27%,15.15%,22.22%,62.63%,56.04%,-0.68%,-55.36%,Morocco,56.04%,REVIEW,CHECK INPUTS,,Morocco,2.5,2.43,43.81%,56.19%,,,,,0.00%,#N/A,PASS,
53,Czechia vs Mexico,Mexico City,Group Stage,16.22%,27.60%,56.18%,22.77%,27.72%,49.50%,-6.55%,-0.12%,6.68%,Mexico,6.68%,PLAY,,,Mexico,2.5,2.695,50.51%,49.49%,,,,,0.00%,#N/A,PASS,
54,South Africa vs South Korea,Monterrey,Group Stage,17.27%,26.91%,55.82%,19.19%,26.26%,54.55%,-1.92%,0.65%,1.27%,South Korea,1.27%,PASS,,,South Korea,2.5,2.23,38.53%,61.47%,,,,,0.00%,#N/A,PASS,
55,Curaçao vs Côte d'Ivoire,Philadelphia,Group Stage,5.30%,23.07%,71.63%,19.80%,24.75%,55.45%,-14.50%,-1.68%,16.18%,Côte d'Ivoire,16.18%,REVIEW,CHECK INPUTS,,Côte d'Ivoire,2.5,2.49,45.36%,54.64%,,,,,0.00%,#N/A,PASS,
56,Ecuador vs Germany,New York/New Jersey,Group Stage,9.92%,28.65%,61.43%,6.86%,14.71%,78.43%,3.06%,13.94%,-17.00%,Draw,13.94%,REVIEW,,BLOCK DRAW,Germany,2.5,2.435,43.94%,56.06%,,,,,0.00%,#N/A,PASS,
57,Japan vs Sweden,Dallas,Group Stage,63.84%,26.10%,10.06%,13.86%,20.79%,65.35%,49.98%,5.31%,-55.28%,Japan,49.98%,REVIEW,CHECK INPUTS,,Japan,2.5,2.405,43.16%,56.84%,,,,,0.00%,#N/A,PASS,
58,Tunisia vs Netherlands,Kansas City,Group Stage,8.74%,24.30%,66.96%,46.53%,27.72%,25.74%,-37.79%,-3.42%,41.22%,Netherlands,41.22%,REVIEW,CHECK INPUTS,,Netherlands,2.5,2.73,51.37%,48.63%,,,,,0.00%,#N/A,PASS,
59,Turkey vs USA,Los Angeles,Group Stage,44.09%,28.89%,27.02%,44.00%,30.00%,26.00%,0.09%,-1.11%,1.02%,USA,1.02%,PASS,,,Turkey,2.5,2.735,51.49%,48.51%,,,,,0.00%,#N/A,PASS,
60,Paraguay vs Australia,San Francisco Bay Area,Group Stage,19.37%,29.13%,51.50%,34.65%,27.72%,37.62%,-15.29%,1.41%,13.88%,Australia,13.88%,STRONG PLAY,,,Australia,2.5,2.1,35.04%,64.96%,,,,,0.00%,#N/A,PASS,
61,Norway vs France,Boston,Group Stage,17.46%,24.45%,58.09%,21.57%,25.49%,52.94%,-4.11%,-1.04%,5.15%,France,5.15%,WATCH,,,France,2.5,3.05,58.79%,41.21%,,,,,0.00%,#N/A,PASS,
62,Senegal vs Iraq,Toronto,Group Stage,58.50%,25.56%,15.94%,66.67%,20.59%,12.75%,-8.17%,4.97%,3.20%,Draw,4.97%,WATCH,,,Senegal,2.5,2.36,41.98%,58.02%,,,,,0.00%,#N/A,PASS,
63,Cabo Verde vs Saudi Arabia,Houston,Group Stage,28.79%,30.00%,41.21%,16.83%,23.76%,59.41%,11.96%,6.24%,-18.20%,Cabo Verde,11.96%,STRONG PLAY,,,Saudi Arabia,2.5,2.275,39.73%,60.27%,,,,,0.00%,#N/A,PASS,
64,Uruguay vs Spain,Guadalajara,Group Stage,7.61%,25.44%,66.95%,36.00%,29.00%,35.00%,-28.39%,-3.56%,31.95%,Spain,31.95%,REVIEW,CHECK INPUTS,,Spain,2.5,2.895,55.29%,44.71%,,,,,0.00%,#N/A,PASS,
65,Egypt vs IR Iran,Seattle,Group Stage,31.05%,27.96%,40.99%,8.91%,15.84%,75.25%,22.14%,12.12%,-34.26%,Egypt,22.14%,REVIEW,CHECK INPUTS,,IR Iran,2.5,2.485,45.23%,54.77%,,,,,0.00%,#N/A,PASS,
66,New Zealand vs Belgium,Vancouver,Group Stage,3.26%,23.13%,73.61%,42.00%,32.00%,26.00%,-38.74%,-8.87%,47.61%,Belgium,47.61%,REVIEW,CHECK INPUTS,,Belgium,2.5,,,,,,,,0.00%,#N/A,PASS,
67,Panama vs England,New York/New Jersey,Group Stage,8.73%,23.49%,67.78%,10.00%,14.00%,76.00%,-1.27%,9.49%,-8.22%,Draw,9.49%,REVIEW,,BLOCK DRAW,England,2.5,2.83,53.77%,46.23%,,,,,0.00%,#N/A,PASS,
68,Croatia vs Ghana,Philadelphia,Group Stage,69.17%,23.40%,7.43%,58.42%,24.75%,16.83%,10.75%,-1.35%,-9.40%,Croatia,10.75%,STRONG PLAY,,,Croatia,2.5,2.71,50.88%,49.12%,,,,,0.00%,#N/A,PASS,
69,Colombia vs Portugal,Miami,Group Stage,25.96%,29.61%,44.43%,27.00%,26.00%,47.00%,-1.04%,3.61%,-2.57%,Draw,3.61%,WATCH,,,Portugal,2.5,3.205,62.11%,37.89%,,,,,0.00%,#N/A,PASS,
70,DR Congo vs Uzbekistan,Atlanta,Group Stage,27.14%,29.31%,43.55%,41.58%,28.71%,29.70%,-14.45%,0.60%,13.85%,Uzbekistan,13.85%,STRONG PLAY,,,Uzbekistan,2.5,2.49,45.36%,54.64%,,,,,0.00%,#N/A,PASS,
71,Algeria vs Austria,Kansas City,Group Stage,29.07%,29.04%,41.89%,6.93%,11.88%,81.19%,22.14%,17.16%,-39.30%,Algeria,22.14%,REVIEW,CHECK INPUTS,,Austria,2.5,2.315,40.79%,59.21%,,,,,0.00%,#N/A,PASS,
72,Jordan vs Argentina,Dallas,Group Stage,10.04%,21.30%,68.66%,28.43%,30.39%,41.18%,-18.39%,-9.09%,27.48%,Argentina,27.48%,REVIEW,CHECK INPUTS,,Argentina,2.5,2.245,38.93%,61.07%,,,,,0.00%,#N/A,PASS,
73,#N/A,Los Angeles,Round of 32,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
74,#N/A,Houston,Round of 32,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
75,#N/A,Boston,Round of 32,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
76,#N/A,Monterrey,Round of 32,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
77,#N/A,Dallas,Round of 32,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
78,#N/A,New York/New Jersey,Round of 32,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
79,#N/A,Mexico City,Round of 32,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
80,#N/A,Atlanta,Round of 32,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
81,#N/A,Seattle,Round of 32,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
82,#N/A,San Francisco Bay Area,Round of 32,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
83,#N/A,Los Angeles,Round of 32,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
84,#N/A,Toronto,Round of 32,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
85,#N/A,Vancouver,Round of 32,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
86,#N/A,Dallas,Round of 32,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
87,#N/A,Miami,Round of 32,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
88,#N/A,Kansas City,Round of 32,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
89,#N/A,Houston,Round of 16,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
90,#N/A,Philadelphia,Round of 16,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
91,#N/A,New York/New Jersey,Round of 16,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
92,#N/A,Mexico City,Round of 16,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
93,#N/A,Dallas,Round of 16,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
94,#N/A,Seattle,Round of 16,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
95,#N/A,Atlanta,Round of 16,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
96,#N/A,Vancouver,Round of 16,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
97,#N/A,Boston,Quarterfinals,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
98,#N/A,Los Angeles,Quarterfinals,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
99,#N/A,Miami,Quarterfinals,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
100,#N/A,Kansas City,Quarterfinals,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
101,#N/A,Dallas,Semifinals,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
102,#N/A,Atlanta,Semifinals,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
103,#N/A,Miami,Third Place Playoff,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
104,#N/A,New York/New Jersey,Final,#N/A,#N/A,#N/A,,,,,,,#N/A,0.00%,#N/A,,#N/A,#N/A,,,,,,,,,0.00%,#N/A,PASS,
