team_id,group,elo,gd_last5 (avg),gd_12mo,xg_for (p90),xg_against (p90),xg_source,xg_diff,form_last5,form_pts,origin_climate,altitude_native,tactical_primary,tactical_secondary,is_host
Cabo Verde,H,64,-1,0.5,1.26,0.71,CAF WC Quals (Sep 2024+),0.55,DLDDW,6,25,10,low_block_counter,direct_attacking,NO
Saudi Arabia,H,64,0,0,1.52,1.06,AFC WC Quals (Nov 2024+),0.46,LWLWW,9,27,620,low_block_counter,mid_block_compact,NO
Spain,H,100,2,2.714,2.74,0.71,WC Quals 2024-25,2.03,DWWWW,13,15,667,positional_play,vertical_tiki_taka,NO
Uruguay,H,84.8,1.5,1.667,1.06,1.28,SA Quals (9/24- ),-0.22,DWWLD,8,17,43,direct_attacking,mid_block_compact,NO
France,I,98.6,3,2,2.54,0.48,WC Quals 2024-25,2.06,WWDWW,13,12,34,high_press_hybrid,positional_play,NO
Iraq,I,66.9,0,0.5,1.1,1.3,AFC WC Quals (Nov 2024+),-0.2,WLLWW,9,23,34,mid_block_compact,mid_block_compact,NO
Norway,I,80.1,3,4.4,2.21,0.87,WC Quals 2024-25,1.34,WWWWW,15,5,26,direct_attacking,high_press_hybrid,NO
Senegal,I,81.7,-1,1.727,1.52,0.8,CAF WC Quals (Sep 2024+),0.72,LWWWW,12,27,10,direct_attacking,mid_block_compact,NO
Algeria,J,75.4,-0.5,1.308,1.23,0.71,CAF WC Quals (Sep 2024+),0.52,LWWWW,12,22,727,mid_block_compact,low_block_counter,NO
Argentina,J,98.5,1,0.667,1.3,0.77,SA Quals (9/24- ),0.53,LWDWW,10,17,25,positional_play,high_press_hybrid,NO
Austria,J,78.6,1,2.25,1.76,0.93,WC Quals 2024-25,0.83,DWLWW,10,9,157,high_press_hybrid,gegenpressing,NO
Jordan,J,69.5,0,0.857,1.2,1.22,AFC WC Quals (Nov 2024+),-0.02,LWWWW,12,17,777,low_block_counter,mid_block_compact,NO
Colombia,K,90.7,3,2,1.55,1.13,SA Quals (9/24- ),0.42,WWDDD,9,18,14,high_press_hybrid,direct_attacking,NO
DR Congo,K,70.8,0,0.818,1.25,0.86,CAF WC Quals (Sep 2024+),0.39,WLWDW,10,24,315,mid_block_compact,direct_attacking,NO
Portugal,K,89.4,3,1.857,2.84,0.89,WC Quals 2024-25,1.95,WLDWW,10,16,9,positional_play,direct_attacking,NO
Uzbekistan,K,73.1,1,1.4,1.78,1.09,AFC WC Quals (Nov 2024+),0.69,DWDWW,11,13,457,mid_block_compact,direct_attacking,NO
Croatia,L,84.9,1.5,2.143,2.56,0.78,WC Quals 2024-25,1.78,WWWDW,13,13,10,mid_block_compact,possession_passive,NO
England,L,93.1,2,2.833,2.38,0.43,WC Quals 2024-25,1.95,WWWWW,15,10,86,high_press_hybrid,direct_attacking,NO
Ghana,L,62.9,-0.5,1,1.4,0.68,CAF WC Quals (Sep 2024+),0.72,LWWWD,10,27,61,direct_attacking,high_press_hybrid,NO
Panama,L,71.4,2,1.417,1.79,1.06,Gold Cup '25,0.73,WWDWD,11,27,6,low_block_counter,mid_block_compact,NO
